type,t_s,v_ms
bowling,0.00,0.00
bowling,0.20,-1.93
bowling,0.40,-4.02
bowling,0.60,-5.93
bowling,0.80,-8.00
bowling,0.99,-9.88
baseball,0.00,0.00
baseball,0.20,-2.123
baseball,0.40,-3.90
baseball,0.60,-6.05
baseball,0.80,-8.04
baseball,0.99,-10.063
